0.5	2.8	5.7	10.3	16.1	25.2	36.5	54.3	77.8	102.7	133.9	175.3	223.3	296.5	370.0	437.2	531.3	555.8	591.2	613.6	633.5	626.4	616.5	600.7	577.8	566.6	535.6	524.6	517.7	500.4	480.3	430.8	406.1	358.6	314.0	255.0	196.8	150.4	117.4	89.1	69.0	50.5	33.4	23.2	15.5	9.9	6.5	4.4	3.3
1.3	4.1	7.5	14.2	20.3	31.9	47.8	70.8	95.6	124.1	169.5	220.8	290.5	418.9	465.6	516.9	599.7	631.1	650.5	669.4	648.4	652.2	646.7	633.1	597.2	589.3	579.7	557.0	537.3	535.3	532.2	508.2	484.4	431.9	367.1	320.3	250.3	186.5	134.6	108.4	83.4	62.9	43.7	28.8	19.4	12.2	8.3	5.2	3.1
2.2	5.7	10.0	20.1	25.1	38.2	60.4	85.7	113.5	153.0	211.0	276.2	371.6	460.0	557.6	618.2	657.1	707.3	685.2	693.6	678.0	672.3	671.5	626.8	621.8	597.8	578.4	561.5	585.2	557.6	574.2	565.1	547.1	506.6	428.3	371.4	294.0	233.5	169.9	122.8	99.1	75.5	53.4	35.4	24.1	16.1	10.4	7.1	4.5
2.4	7.0	12.0	20.0	32.4	49.8	71.0	105.6	138.2	184.7	255.6	347.8	459.7	548.5	605.5	659.2	694.0	712.2	689.6	721.3	701.4	649.1	648.4	628.8	614.6	596.2	581.5	576.9	582.1	599.4	597.8	612.6	588.4	564.8	488.0	421.6	359.3	285.7	205.4	149.8	115.4	86.9	64.5	42.0	27.3	19.3	11.9	7.5	4.8
3.8	7.9	13.8	23.5	36.6	57.0	84.7	122.6	160.7	222.7	302.1	410.2	516.0	579.7	655.0	707.3	723.2	721.3	727.1	713.4	696.9	638.9	628.4	626.4	617.2	574.2	583.4	566.0	574.2	583.4	621.1	616.5	613.6	563.0	541.0	469.8	394.9	316.3	239.2	172.6	128.7	97.0	71.2	48.9	32.3	21.7	13.3	9.9	6.5
5.1	8.6	16.8	27.9	42.4	65.9	96.2	135.1	183.7	256.6	366.5	473.3	572.9	626.8	717.5	734.4	722.5	717.1	691.8	675.1	678.0	654.0	636.8	617.5	607.1	591.2	571.4	564.2	600.7	590.6	621.8	617.2	601.6	589.6	576.0	495.6	424.7	350.0	273.4	200.2	144.4	106.1	78.3	57.7	38.0	24.4	16.5	10.5	7.1
6.1	11.4	18.7	30.9	48.8	76.8	106.2	153.3	203.8	297.0	401.0	523.2	601.6	674.4	714.5	739.1	721.3	717.5	712.2	673.3	655.3	671.5	632.1	626.4	608.7	633.1	603.2	582.1	600.7	585.9	597.8	624.1	595.0	589.6	590.6	521.3	472.5	387.3	299.6	228.3	159.7	116.3	87.1	61.0	43.0	28.1	17.7	12.2	7.9
7.0	12.5	21.1	33.9	55.3	86.0	115.1	165.3	232.4	329.8	445.4	563.0	626.8	682.3	732.5	739.1	758.5	684.8	681.9	680.1	662.0	676.9	660.6	656.7	647.7	622.8	618.5	597.2	600.4	579.4	591.2	608.7	616.2	610.0	585.2	532.7	484.9	418.0	320.9	244.4	175.0	125.8	92.4	67.7	47.8	31.0	20.6	13.1	9.0
8.7	12.8	22.5	36.9	59.7	90.2	122.0	175.9	254.2	367.1	474.0	590.2	655.3	692.9	717.5	733.3	714.5	700.3	685.9	665.5	667.3	667.3	659.2	684.8	660.6	654.0	630.4	622.8	622.1	568.7	604.5	587.4	589.6	588.7	570.5	544.5	485.5	419.1	341.2	261.2	192.8	134.8	94.5	70.4	50.0	32.3	22.9	14.1	9.6
8.4	14.3	25.2	39.7	64.2	93.6	127.9	185.2	262.1	375.3	499.6	604.2	650.5	705.5	727.1	698.4	695.5	688.9	686.7	662.7	659.2	681.9	670.5	663.7	639.9	634.1	638.9	616.2	642.6	594.3	592.4	571.1	585.2	578.4	585.9	563.9	503.9	424.7	361.0	266.9	201.8	139.7	102.1	72.4	51.7	34.6	22.2	15.1	9.5
8.9	14.7	26.4	40.3	66.3	100.1	135.0	196.0	284.3	391.4	514.9	599.4	675.1	709.2	750.1	727.1	698.4	670.5	660.9	679.8	657.8	671.5	642.9	644.3	643.6	624.1	628.4	645.3	615.2	602.6	580.6	567.5	580.6	556.7	593.4	549.4	516.0	440.4	352.6	286.3	199.6	144.5	101.3	71.7	52.1	35.5	21.6	15.6	9.1
9.1	16.2	27.2	41.8	66.6	100.3	139.4	195.2	286.8	402.9	506.6	615.5	671.2	723.2	734.4	707.7	691.8	683.0	676.2	659.9	673.3	640.9	647.7	631.1	609.7	616.5	619.8	628.4	607.1	608.7	558.5	557.6	558.5	582.5	585.9	541.6	512.0	451.3	366.4	289.6	205.1	143.7	101.7	74.7	52.9	35.9	22.4	15.4	10.0
9.4	15.0	26.3	41.6	66.5	99.2	141.0	189.2	288.3	406.5	506.8	597.2	671.2	729.0	717.1	743.0	704.4	694.7	680.1	667.3	648.4	658.8	637.2	623.1	602.6	613.6	608.7	634.5	623.1	576.0	552.6	554.1	530.2	536.1	542.7	537.3	531.0	440.7	371.2	281.6	208.5	146.0	100.6	73.5	51.3	35.1	24.3	14.9	10.0
8.7	15.7	26.8	42.8	65.5	94.0	132.4	193.6	278.1	402.5	507.6	600.4	676.9	717.1	752.5	742.2	670.5	649.5	658.1	650.1	652.2	674.4	646.4	634.5	616.5	607.1	609.7	638.2	613.6	576.0	553.2	538.7	532.7	523.2	531.0	549.4	498.0	433.3	360.5	278.6	203.3	139.0	98.6	73.6	52.4	34.0	22.5	15.2	9.4
